一级类目	二级类目	供货价	佣金	楚币	支付金额	毛利额	毛利率
家居百货	床上用品	7612.9	4543.159999999988	655.6700000000001	12168.629999999996	1184.3022119999978	0.09234829285029188
家居百货	收纳整理	244.32	231.88	113.94	742.26	49.67831599999999	0.05802185937864983
家居百货	洗护清洁剂/纸/香薰	174359.31999999887	20237.959999999544	8568.659999999998	191641.10999999213	7418.808572000111	0.03705517753704229
家居百货	电子/电工	22.86	2.54	5.0	20.4	0.509777999999999	0.02006999999999996
家居百货	餐饮具	468.3	323.26	138.75	658.4499999999998	70.51828200000001	0.08845745358755648
家用电器	个人护理/保健/按摩器材	1350.9	4811.060000000001	749.46	19438.940000000002	1100.9197420000028	0.0545322929008739
家用电器	厨房电器	469.0	1280.6499999999996	245.11	6646.9	331.286455	0.048068191282369006
家用电器	大家电	92.0	71.75	152.3	805.7	49.600224999999995	0.05177476513569937
家用电器	生活电器	461.0	596.3399999999999	129.68	2852.0200000000004	158.685438	0.05321978669886306
手机数码	3C数码配件/电脑硬件/电脑周边	0.0	163.16	35.0	867.7	32.746212	0.03627585244267198
手机数码	手机	0.0	106.52	100.0	397.9	21.378563999999997	0.04293746535448885
母婴	奶粉/辅食/营养品/零食	282.21000000000004	69.27	0.0	438.88	46.19248899999999	0.10525084077652203
母婴	婴童鞋/亲子鞋	0.0	4425.749999999989	349.86	14402.64	888.248025	0.06021
母婴	孕妇装/孕产妇用品/营养	0.0	203.7	5.0	674.0	40.88258999999999	0.06020999999999999
母婴	尿片/洗护/喂哺/推车床	3061.1800000000003	1632.3399999999979	476.70000000000005	5788.6	391.4206379999998	0.06247436483488417
母婴	玩具/模型/动漫/早教/益智	12068.949999999999	4579.170000000027	899.89	16814.209999999995	668.2594190000032	0.03772471754139377
母婴	童装/亲子装	0.0	800.5900000000006	183.27	2533.630000000001	160.67841299999992	0.059140348559019416
男装	T恤	0.0	35.4	6.410000000000001	111.59	7.104779999999999	0.06020999999999999
男装	卫衣	0.0	71.4	0.0	238.0	14.32998	0.06021000000000001
男装	夹克	0.0	995.1000000000006	139.16	3177.84	199.71656999999993	0.06020999999999998
男装	棉衣	0.0	44.7	0.0	149.0	8.97129	0.06021
男装	皮衣	0.0	44.7	0.0	149.0	8.97129	0.06021
男装	背心/马甲	0.0	50.4	20.0	148.0	10.115279999999998	0.06020999999999999
男装	衬衫	0.0	459.29999999999984	22.0	1509.0	92.18151	0.06021
男装	裤装	0.0	356.69999999999993	20.0	1169.0	71.58969	0.06021000000000001
男装	针织衫/毛衣	0.0	139.5	1.0	464.0	27.997649999999997	0.06020999999999999
箱包	功能箱包	265.0	437.29999999999995	16.970000000000002	1533.03	74.06611000000001	0.047784587096774196
箱包	女包	0.0	1941.0000000000007	189.42000000000002	6336.58	389.55870000000004	0.05969333435488815
美妆个护	彩妆/香水	10286.9	6578.500000000002	755.94	15449.159999999996	581.8449499999998	0.035905051496133926
美妆个护	美体个护	49039.35000000007	16897.089999999833	2387.0935722597164	64554.44000000047	4156.81953525972	0.062096269885610435
美妆个护	美妆个护工具	5504.360000000033	3149.0599999999895	529.74	8927.45999999996	644.5463420000021	0.06815403523241603
美妆个护	美容护肤/美体/精油	35896.22000000013	14520.079999999942	2365.836427740284	51590.28000000019	3157.4264837402598	0.05851841631279695
运动户外	户外/登山/野营/旅行用品	0.0	43.6	101.65	116.35	8.75052	0.04014
运动户外	运动/瑜伽/健身/球迷用品	39.0	163.77000000000004	13.33	502.66999999999996	33.198639	0.06433844767441861
运动户外	运动鞋new	0.0	284.7	4.0	1141.0	57.13929	0.049903310043668124
配饰	手表	0.0	1055.4	89.0	3429.0	211.81878	0.06021
配饰	服饰配件/皮带/帽子/围巾	0.0	94.80000000000001	5.0	311.0	19.02636	0.06021
配饰	珠宝/钻石/翡翠/黄金	0.0	426.23999999999995	125.0	1295.8	85.54636800000002	0.060210000000000014
配饰	饰品/流行首饰/时尚饰品新	0.0	180.60000000000002	0.0	602.0	36.24642	0.06021
鞋靴	女鞋	35.0	5141.370000000004	364.99999999999994	16884.9	1031.802959000003	0.059815011043542456
鞋靴	男鞋	0.0	786.5999999999999	33.87	2588.13	157.87062	0.06021
食品	传统滋补营养品	7057.16	2758.989999999999	507.0	9446.39999999999	690.9792929999996	0.06942143317861237
食品	保健食品/膳食营养补充食品	3505.7200000000003	1950.5600000000004	66.25	5754.450000000002	755.8973920000003	0.12986365763567959
食品	水产肉类/新鲜蔬果/熟食	61381.89999999964	15980.829999999809	4721.440000000001	79666.31000000025	3619.8625810000185	0.04289559303334913
食品	粮油米面/南北干货/调味品	8613.320000000005	2365.949999999995	630.1299999999999	11000.679999999968	848.0261650000012	0.0729120469683542
食品	酒水/茶/冲饮	37044.009999999995	12580.250000000045	1611.4199999999998	48048.31000000025	2560.3261750000047	0.05155739217671928
食品	零食/坚果/特产	11672.889999999989	4322.759999999988	1777.63	20206.219999999907	1091.2779319999954	0.04963998262360778
